call_id,audio_path,start_time,end_time,noise_type,sr,seg_start_sample,seg_end_sample,core_start_sample,core_end_sample,source_sr,source_len,n_channels,source_core_start,source_core_end,detected_f0,multi_elephant,f0_b,snr_before_db,snr_after_db,snr_improvement_db,f0_hz,harmonic_completeness,harmonics_present,harmonics_possible,valid,reverted
1989-06_airplane_01_c019,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-06_airplane_01.wav,54.7481,58.73887778,airplane,4000,212992,240955,218992,234955,48000,3985815,1,2627908,2819466,29.296875,True,13.671875,6.23,7.9,1.67,29.3,0.158,3,19,False,False
1989-06_airplane_01_c020,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-06_airplane_01.wav,70.1472,73.18019111,airplane,4000,274588,298720,280588,292720,48000,3985815,1,3367065,3512649,23.4375,False,0.0,7.86,12.93,5.07,23.4,0.684,13,19,True,False
1989-08_airplane_01_c021,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,18.0101,20.40456667,airplane,4000,66040,87618,72040,81618,48000,5521094,1,864484,979419,31.25,True,15.625,3.43,12.65,9.22,31.2,0.316,6,19,True,False
1989-08_airplane_01_c022,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,22.1605,24.71459778,airplane,4000,82642,104858,88642,98858,48000,5521094,1,1063704,1186300,21.484375,False,0.0,9.24,9.82,0.58,21.5,0.684,13,19,True,False
1989-08_airplane_01_c023,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,31.0999,34.71820518,airplane,4000,118399,144872,124399,138872,48000,5521094,1,1492795,1666473,17.578125,False,0.0,6.39,12.69,6.29,17.6,0.579,11,19,True,False
1989-08_airplane_01_c024,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,33.5475,35.46307333,airplane,4000,128190,147852,134190,141852,48000,5521094,1,1610280,1702227,19.53125,False,0.0,3.4,10.04,6.64,19.5,0.579,11,19,True,False
1989-08_airplane_01_c025,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,35.3035,39.82638148,airplane,4000,135214,165305,141214,159305,48000,5521094,1,1694568,1911666,19.53125,False,0.0,5.83,8.51,2.68,19.5,0.474,9,19,True,False
1989-08_airplane_01_c026,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,42.4337,46.37126741,airplane,4000,163734,191485,169734,185485,48000,5521094,1,2036817,2225820,29.296875,True,15.625,10.38,10.38,0.0,29.3,0.632,12,19,True,True
1989-08_airplane_01_c027,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,45.8923,48.97850148,airplane,4000,177569,201914,183569,195914,48000,5521094,1,2202830,2350968,27.34375,True,15.625,8.98,20.81,11.84,27.3,0.263,5,19,True,False
1989-08_airplane_01_c028,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,50.2024,53.12897037,airplane,4000,194809,218515,200809,212515,48000,5521094,1,2409715,2550190,29.296875,False,0.0,11.7,11.98,0.28,29.3,0.474,9,19,True,False
1989-08_airplane_01_c029,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,52.7033,54.83171481,airplane,4000,204813,225326,210813,219326,48000,5521094,1,2529758,2631922,25.390625,False,0.0,5.72,8.15,2.43,25.4,0.474,9,19,True,False
1989-08_airplane_01_c030,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,80.6928,85.9074163,airplane,4000,316771,349629,322771,343629,48000,5521094,1,3873254,4123555,31.25,False,0.0,9.99,9.99,0.0,31.2,0.632,12,19,True,True
1989-08_airplane_01_c031,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,86.2267,88.94042889,airplane,4000,338906,361761,344906,355761,48000,5521094,1,4138881,4269140,15.625,False,0.0,6.05,9.42,3.37,15.6,0.789,15,19,True,False
1989-08_airplane_01_c032,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_01.wav,88.8872,92.45229481,airplane,4000,349548,375809,355548,369809,48000,5521094,1,4266585,4437710,33.203125,True,15.625,9.91,13.71,3.8,33.2,0.158,3,19,False,False
1989-08_airplane_02_c033,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_02.wav,18.7263,21.33360815,airplane,4000,68905,91334,74905,85334,48000,2132726,1,898862,1024013,31.25,True,15.625,3.34,7.42,4.08,31.2,0.053,1,19,False,False
1989-08_airplane_02_c034,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_02.wav,22.8767,25.53721852,airplane,4000,85506,108148,91506,102148,48000,2132726,1,1098081,1225786,33.203125,False,0.0,4.08,19.49,15.41,33.2,0.474,9,19,True,False
1989-08_airplane_02_c035,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_02.wav,31.7696,35.1750637,airplane,4000,121078,146700,127078,140700,48000,2132726,1,1524940,1688403,17.578125,False,0.0,6.64,9.98,3.34,17.6,0.579,11,19,True,False
1989-08_airplane_02_c036,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_02.wav,34.5365,36.34565259,airplane,4000,132146,151382,138146,145382,48000,2132726,1,1657751,1744591,19.53125,False,0.0,3.1,9.84,6.74,19.5,0.579,11,19,True,False
1989-08_airplane_02_c037,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_02.wav,36.2925,40.70896074,airplane,4000,139170,168835,145170,162835,48000,2132726,1,1742039,1954030,19.53125,False,0.0,5.79,7.39,1.6,19.5,0.526,10,19,True,False
1989-08_airplane_03_c038,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,16.6567,18.94474593,airplane,4000,60626,81778,66626,75778,48000,9218708,1,799521,909347,29.296875,True,15.625,16.24,16.24,0.0,29.3,0.632,12,19,True,True
1989-08_airplane_03_c039,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,20.7539,23.41441852,airplane,4000,77015,99657,83015,93657,48000,9218708,1,996187,1123892,33.203125,False,0.0,4.08,12.39,8.31,33.2,0.211,4,19,True,False
1989-08_airplane_03_c040,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,29.6764,33.02865333,airplane,4000,112705,138114,118705,132114,48000,9218708,1,1424467,1585375,17.578125,False,0.0,6.77,11.95,5.19,17.6,0.632,12,19,True,False
1989-08_airplane_03_c041,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,32.2305,33.98644222,airplane,4000,122922,141945,128922,135945,48000,9218708,1,1547064,1631349,19.53125,False,0.0,2.58,8.99,6.41,19.5,0.579,11,19,True,False
1989-08_airplane_03_c042,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,33.88,38.40288148,airplane,4000,129520,159611,135520,153611,48000,9218708,1,1626240,1843338,19.53125,False,0.0,5.66,5.66,0.0,19.5,0.632,12,19,True,True
1989-08_airplane_03_c043,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,41.2231,45.90561259,airplane,4000,158892,189622,164892,183622,48000,9218708,1,1978708,2203469,31.25,True,15.625,11.03,18.14,7.1,31.2,0.158,3,19,False,False
1989-08_airplane_03_c044,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,48.85,53.47930222,airplane,4000,189400,219917,195400,213917,48000,9218708,1,2344800,2567006,29.296875,False,0.0,11.04,11.04,0.0,29.3,0.526,10,19,True,True
1989-08_airplane_03_c045,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,53.961,59.92056148,airplane,4000,209844,245682,215844,239682,48000,9218708,1,2590128,2876186,23.4375,False,0.0,-1.68,8.91,10.59,23.4,0.474,9,19,True,False
1989-08_airplane_03_c046,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,79.7149,84.76988518,airplane,4000,312859,345079,318859,339079,48000,9218708,1,3826315,4068954,29.296875,False,0.0,4.51,11.46,6.95,29.3,0.526,10,19,True,False
1989-08_airplane_03_c047,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,85.0359,87.74962889,airplane,4000,334143,356998,340143,350998,48000,9218708,1,4081723,4211982,29.296875,True,15.625,8.46,8.46,0.0,29.3,0.526,10,19,True,True
1989-08_airplane_03_c048,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,87.7496,90.83580148,airplane,4000,344998,369343,350998,363343,48000,9218708,1,4211980,4360118,33.203125,True,15.625,10.37,13.14,2.76,33.2,0.211,4,19,True,False
1989-08_airplane_03_c049,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,120.6345,123.2418081,airplane,4000,476538,498967,482538,492967,48000,9218708,1,5790456,5915606,33.203125,False,0.0,9.91,9.91,0.0,33.2,0.526,10,19,True,True
1989-08_airplane_03_c050,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,126.1845,132.3036926,airplane,4000,498738,535214,504738,529214,48000,9218708,1,6056856,6350577,13.671875,False,0.0,6.83,8.11,1.28,13.7,0.632,12,19,True,False
1989-08_airplane_03_c051,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,145.9255,148.2135459,airplane,4000,577702,598854,583702,592854,48000,9218708,1,7004424,7114250,29.296875,True,15.625,11.12,19.78,8.66,29.3,0.263,5,19,True,False
