call_id,audio_path,start_time,end_time,noise_type,sr,seg_start_sample,seg_end_sample,core_start_sample,core_end_sample,source_sr,source_len,n_channels,source_core_start,source_core_end,detected_f0,multi_elephant,f0_b,snr_before_db,snr_after_db,snr_improvement_db,f0_hz,harmonic_completeness,harmonics_present,harmonics_possible,valid,reverted
1989-08_airplane_03_c052,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,147.5219,152.0447815,airplane,4000,584087,614179,590087,608179,48000,9218708,1,7081051,7298149,27.34375,True,15.625,8.87,8.87,0.0,27.3,0.632,12,19,True,True
1989-08_airplane_03_c053,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,157.8447,165.5602037,airplane,4000,625378,668240,631378,662240,48000,9218708,1,7576545,7946889,27.34375,False,0.0,8.41,8.83,0.42,27.3,0.368,7,19,True,False
1989-08_airplane_03_c054,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,169.8412,172.0228252,airplane,4000,673364,694091,679364,688091,48000,9218708,1,8152377,8257095,23.4375,False,0.0,4.67,14.84,10.17,23.4,0.263,5,19,True,False
1989-08_airplane_03_c055,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,171.4375,174.4172807,airplane,4000,679750,703669,685750,697669,48000,9218708,1,8229000,8372029,33.203125,False,0.0,7.69,7.69,0.0,33.2,0.474,9,19,True,True
1989-08_airplane_03_c056,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,176.865,183.7291378,airplane,4000,701460,740916,707460,734916,48000,9218708,1,8489520,8818998,13.671875,False,0.0,4.54,4.54,0.0,13.7,0.895,17,19,True,True
1989-08_airplane_03_c057,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\1989-08_airplane_03.wav,178.8338,180.5365319,airplane,4000,709335,728146,715335,722146,48000,9218708,1,8584022,8665753,25.390625,False,0.0,3.53,12.65,9.12,25.4,0.263,5,19,True,False
2000-23_background_and_vehicle_noise_2_c058,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_and_vehicle_noise_2.wav,21.5852,26.00166074,car,4000,80340,110006,86340,104006,48000,3180258,1,1036089,1248079,13.671875,False,0.0,5.94,5.94,0.0,13.7,1.0,19,19,True,True
2000-23_background_and_vehicle_noise_2_c059,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_and_vehicle_noise_2.wav,25.8421,28.2473138,car,4000,97368,118989,103368,112989,48000,3180258,1,1240420,1355871,27.34375,False,0.0,9.33,14.37,5.04,27.3,0.158,3,19,False,False
2000-23_background_and_vehicle_noise_2_c060,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_and_vehicle_noise_2.wav,28.6198,30.10969037,car,4000,108479,126438,114479,120438,48000,3180258,1,1373750,1445265,29.296875,True,15.625,8.78,11.68,2.9,29.3,0.053,1,19,False,False
2000-23_background_and_vehicle_noise_2_c061,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_and_vehicle_noise_2.wav,29.3115,33.62154,car,4000,111246,140486,117246,134486,48000,3180258,1,1406952,1613833,31.25,True,15.625,8.85,11.11,2.26,31.2,0.053,1,19,False,False
2000-23_background_and_vehicle_noise_2_c062,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_and_vehicle_noise_2.wav,33.4619,34.73894889,car,4000,127847,144955,133847,138955,48000,3180258,1,1606171,1667469,27.34375,True,15.625,6.36,11.98,5.62,27.3,0.053,1,19,False,False
2000-23_background_and_vehicle_noise_2_c063,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_and_vehicle_noise_2.wav,46.7113,51.23418148,car,4000,180845,210936,186845,204936,48000,3180258,1,2242142,2459240,25.390625,False,0.0,10.61,10.61,0.0,25.4,0.526,10,19,True,True
2000-23_background_noise_1_c064,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_noise_1.wav,8.5713,12.93455037,background,4000,28285,57738,34285,51738,48000,1859846,1,411422,620858,21.484375,False,0.0,1.48,4.84,3.36,21.5,0.316,6,19,True,False
2000-23_background_noise_1_c065,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_noise_1.wav,20.8097,25.38579185,background,4000,77238,107543,83238,101543,48000,1859846,1,998865,1218518,31.25,False,0.0,7.78,13.57,5.79,31.2,0.474,9,19,True,False
2000-23_background_noise_1_c066,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_noise_1.wav,25.403,31.78824444,background,4000,95612,133152,101612,127152,48000,1859846,1,1219344,1525835,33.203125,True,15.625,10.82,10.82,0.0,33.2,0.263,5,19,True,True
2000-23_background_vehicle_noise_c067,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_vehicle_noise.wav,4.3753,8.100025925,car,4000,11501,38400,17501,32400,48000,2200233,1,210014,388801,29.296875,False,0.0,10.09,10.09,0.0,29.3,0.474,9,19,True,True
2000-23_background_vehicle_noise_c068,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_background_vehicle_noise.wav,19.3274,23.05212593,car,4000,71309,98208,77309,92208,48000,2200233,1,927715,1106502,29.296875,True,17.578125,9.82,14.2,4.38,29.3,0.211,4,19,True,False
2000-23_vehicle_noise_1_c069,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_1.wav,6.1912,11.83149926,car,4000,18764,53325,24764,47325,48000,10104120,1,297177,567911,13.671875,False,0.0,7.73,7.73,0.0,13.7,1.0,19,19,True,True
2000-23_vehicle_noise_1_c070,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_1.wav,64.068,71.2920786,car,4000,250272,291168,256272,285168,48000,10104120,1,3075264,3422019,27.34375,True,15.625,4.31,4.31,0.0,27.3,0.684,13,19,True,True
2000-23_vehicle_noise_1_c071,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_1.wav,136.2342,140.5974504,car,4000,538936,568389,544936,562389,48000,10104120,1,6539241,6748677,27.34375,True,13.671875,7.6,9.57,1.97,27.3,0.316,6,19,True,False
2000-23_vehicle_noise_2_c072,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_2.wav,8.0875,13.3021163,car,4000,26350,59208,32350,53208,48000,1034496,1,388200,638501,23.4375,False,0.0,1.54,14.27,12.73,23.4,0.158,3,19,False,False
2000-23_vehicle_noise_3_c073,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_3.wav,5.7976,11.33147852,car,4000,17190,51325,23190,45325,48000,1782794,1,278284,543910,25.390625,False,0.0,15.41,18.87,3.46,25.4,0.316,6,19,True,False
2000-23_vehicle_noise_3_c074,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_3.wav,24.1384,31.00253778,car,4000,90553,130010,96553,124010,48000,1782794,1,1158643,1488121,29.296875,False,0.0,14.72,14.72,0.0,29.3,0.421,8,19,True,True
2000-23_vehicle_noise_4_c075,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_4.wav,6.5301,10.36124667,car,4000,20120,47444,26120,41444,48000,3460193,1,313444,497339,27.34375,False,0.0,10.7,10.7,0.0,27.3,0.632,12,19,True,True
2000-23_vehicle_noise_4_c076,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_4.wav,14.4585,20.7373237,car,4000,51834,88949,57834,82949,48000,3460193,1,694008,995391,29.296875,False,0.0,12.61,12.61,0.0,29.3,0.474,9,19,True,True
2000-23_vehicle_noise_4_c077,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_4.wav,26.0051,29.46377407,car,4000,98020,123855,104020,117855,48000,3460193,1,1248244,1414261,25.390625,False,0.0,11.59,18.18,6.59,25.4,0.316,6,19,True,False
2000-23_vehicle_noise_4_c078,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_4.wav,39.4629,45.79493407,car,4000,151851,189179,157851,183179,48000,3460193,1,1894219,2198156,25.390625,True,15.625,2.73,7.48,4.75,25.4,0.368,7,19,True,False
2000-23_vehicle_noise_4_c079,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-23_vehicle_noise_4.wav,51.4884,58.51216889,car,4000,199953,240048,205953,234048,48000,3460193,1,2471443,2808584,25.390625,False,0.0,6.92,6.92,0.0,25.4,0.684,13,19,True,True
2000-24_generator_noise_1_c080,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_1.wav,56.3577,59.23106,generator_60hz,4000,219430,242924,225430,236924,48000,4859266,1,2705169,2843090,25.390625,False,0.0,14.11,14.11,0.0,25.4,0.579,11,19,True,True
2000-24_generator_noise_2_c081,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_2.wav,80.1582,83.88292593,generator_60hz,4000,314632,341531,320632,335531,48000,17740327,1,3847593,4026380,17.578125,False,0.0,0.84,3.29,2.45,17.6,0.632,12,19,True,False
2000-24_generator_noise_2_c082,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_2.wav,199.7774,203.6085467,generator_60hz,4000,793109,820434,799109,814434,48000,17740327,1,9589315,9773210,29.296875,True,13.671875,10.07,9.99,-0.08,29.3,0.368,7,19,True,False
2000-24_generator_noise_2_c083,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_2.wav,214.2506,218.9331126,generator_60hz,4000,851002,881732,857002,875732,48000,17740327,1,10284028,10508789,23.4375,False,0.0,8.83,8.83,0.0,23.4,0.579,11,19,True,True
2000-24_generator_noise_2_c084,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_2.wav,228.4046,235.4218933,generator_60hz,4000,907618,947687,913618,941687,48000,17740327,1,10963420,11300250,33.203125,False,0.0,6.78,6.78,0.0,33.2,0.526,10,19,True,True
2000-24_generator_noise_2_c085,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_2.wav,260.0582,264.4746607,generator_60hz,4000,1034232,1063898,1040232,1057898,48000,17740327,1,12482793,12694783,13.671875,False,0.0,9.05,14.13,5.08,13.7,0.737,14,19,True,False
2000-24_generator_noise_3_c086,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_3.wav,10.6417,13.30221852,generator_60hz,4000,36566,59208,42566,53208,48000,2007165,1,510801,638506,25.390625,True,15.625,4.9,7.68,2.78,25.4,0.211,4,19,True,False
2000-24_generator_noise_3_c087,C:\Users\tusha\Documents\hackathons\smu\HACKSMU_26\recordings\2000-24_generator_noise_3.wav,13.9407,19.63420963,generator_60hz,4000,49762,84536,55762,78536,48000,2007165,1,669153,942442,29.296875,True,15.625,8.55,8.55,0.0,29.3,0.526,10,19,True,True
