call_id,audio_path,start_time,end_time,noise_type,sr,seg_start_sample,seg_end_sample,core_start_sample,core_end_sample,source_sr,source_len,n_channels,source_core_start,source_core_end,detected_f0,multi_elephant,f0_b,snr_before_db,snr_after_db,snr_improvement_db,f0_hz,harmonic_completeness,harmonics_present,harmonics_possible,valid,reverted,cluster,umap_x,umap_y
2000-23_vehicle_noise_3_c073,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_3.wav,5.7976,11.33147852,car,4000,17190,51325,23190,45325,48000,1782794,1,278284,543910,25.390625,False,0.0,15.41,18.87,3.46,25.4,0.316,6,19,True,False,4.0,15.58,7.777
2000-23_vehicle_noise_3_c074,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_3.wav,24.1384,31.00253778,car,4000,90553,130010,96553,124010,48000,1782794,1,1158643,1488121,29.296875,False,0.0,14.72,14.72,0.0,29.3,0.421,8,19,True,True,2.0,16.065,6.413
2000-23_vehicle_noise_4_c075,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_4.wav,6.5301,10.36124667,car,4000,20120,47444,26120,41444,48000,3460193,1,313444,497339,27.34375,False,0.0,10.7,10.7,0.0,27.3,0.632,12,19,True,True,2.0,15.335,4.861
2000-23_vehicle_noise_4_c076,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_4.wav,14.4585,20.7373237,car,4000,51834,88949,57834,82949,48000,3460193,1,694008,995391,29.296875,False,0.0,12.61,12.61,0.0,29.3,0.474,9,19,True,True,2.0,16.073,6.197
2000-23_vehicle_noise_4_c077,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_4.wav,26.0051,29.46377407,car,4000,98020,123855,104020,117855,48000,3460193,1,1248244,1414261,25.390625,False,0.0,11.59,18.18,6.59,25.4,0.316,6,19,True,False,4.0,15.513,8.183
2000-23_vehicle_noise_4_c078,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_4.wav,39.4629,45.79493407,car,4000,151851,189179,157851,183179,48000,3460193,1,1894219,2198156,25.390625,True,15.625,2.73,7.48,4.75,25.4,0.368,7,19,True,False,3.0,-2.511,15.266
2000-23_vehicle_noise_4_c079,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-23_vehicle_noise_4.wav,51.4884,58.51216889,car,4000,199953,240048,205953,234048,48000,3460193,1,2471443,2808584,25.390625,False,0.0,6.92,6.92,0.0,25.4,0.684,13,19,True,True,2.0,15.919,5.317
2000-24_generator_noise_1_c080,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_1.wav,56.3577,59.23106,generator_60hz,4000,219430,242924,225430,236924,48000,4859266,1,2705169,2843090,25.390625,False,0.0,14.11,14.11,0.0,25.4,0.579,11,19,True,True,2.0,15.171,4.774
2000-24_generator_noise_2_c081,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_2.wav,80.1582,83.88292593,generator_60hz,4000,314632,341531,320632,335531,48000,17740327,1,3847593,4026380,17.578125,False,0.0,0.84,3.29,2.45,17.6,0.632,12,19,True,False,6.0,12.693,4.768
2000-24_generator_noise_2_c082,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_2.wav,199.7774,203.6085467,generator_60hz,4000,793109,820434,799109,814434,48000,17740327,1,9589315,9773210,29.296875,True,13.671875,10.07,9.99,-0.08,29.3,0.368,7,19,True,False,3.0,-2.383,14.822
