call_id,audio_path,start_time,end_time,noise_type,sr,seg_start_sample,seg_end_sample,core_start_sample,core_end_sample,source_sr,source_len,n_channels,source_core_start,source_core_end,detected_f0,multi_elephant,f0_b,snr_before_db,snr_after_db,snr_improvement_db,f0_hz,harmonic_completeness,harmonics_present,harmonics_possible,valid,reverted
04-040920-02_vehicle_1_c000,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\04-040920-02_vehicle_1.wav,30.6492,33.41613926,car,4000,116596,139664,122596,133664,48000,2761417,1,1471161,1603974,21.484375,False,0.0,2.41,2.41,0.0,21.5,0.579,11,19,True,True
04-040920-02_vehicle_1_c001,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\04-040920-02_vehicle_1.wav,32.0326,36.39585037,car,4000,122130,151583,128130,145583,48000,2761417,1,1537564,1747000,25.390625,False,0.0,6.74,11.48,4.73,25.4,0.316,6,19,True,False
04-040920-02_vehicle_1_c002,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\04-040920-02_vehicle_1.wav,33.3097,40.75915185,car,4000,127238,169036,133238,163036,48000,2761417,1,1598865,1956439,19.53125,False,0.0,-0.02,7.34,7.37,19.5,0.737,14,19,True,False
